Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
558,TERRAS ALTAS,CA870153,BGA 13764,ARROZ DA TERRA,30,28,28,30,,27
559,TERRAS ALTAS,CA870158,BGA 13769,4 MESES,27,25,23,23,24,25
560,TERRAS ALTAS,CA870160,BGA 13771,CASCA BRANCA,25,24,23,22,20,26
564,TERRAS ALTAS,CA870168,BGA 13779,51,32,28,26,27,,26
566,TERRAS ALTAS,CA870171,BGA 13782,DOURADO LIGEIRO,26,24,23,22,23,25
567,TERRAS ALTAS,CA870174,BGA 13785,BA� PELUDO,27,24,23,24,26,24
568,TERRAS ALTAS,CA870177,BGA 13788,ROXO,30,27,26,28,25,28
572,TERRAS ALTAS,CA870182,BGA 13793,BA� COMPRIDO,24,27,24,26,24,28
573,TERRAS ALTAS,CA870186,BGA 13797,CANA ROXA,28,26,24,25,,24
575,TERRAS ALTAS,CA880013,BGA 13815,PACUZINHO,24,24,22,24,24,23
576,TERRAS ALTAS,CA880070,BGA 13872,3 MESES BRANCO,27,24,23,22,24,26
577,TERRAS ALTAS,CA880075,BGA 13877,AGULHA DA TERRA,26,24,,26,26,27
578,TERRAS ALTAS,CA880078,BGA 13880,LEVANTA TESTA,26,26,22,24,26,27
579,TERRAS ALTAS,CA880088,BGA 13890,CACHO GRANDE,25,26,23,25,27,25
580,TERRAS ALTAS,CA880091,BGA 13893,AGULH�O,29,24,22,24,24,24
583,TERRAS ALTAS,CA910003,BGA 13916,VERMELHO,30,29,,28,,29
586,TERRAS ALTAS,CA940001,BGA 13921,JAPON�S,23,25,,24,24,24
591,TERRAS ALTAS,CA940006,BGA 13926,MOT�,7,8,7,8,5,7
593,TERRAS ALTAS,CA940008,BGA 13928,FARROUPILHA,21,19,20,20,21,
594,TERRAS ALTAS,CA950002,BGA 13932,AGULHINHA IPAMERI DOURADO,23,24,,24,23,23
597,TERRAS ALTAS,CA950007,BGA 13937,AGULHINHA 5 MESES BRANCO,21,18,,24,20,26
599,TERRAS ALTAS,CA950010,BGA 13940,BATATAIS,27,25,22,22,24,26
612,TERRAS ALTAS,CA970013,BGA 14016,XINGU PRODUTOR,19,19,16,19,17,20
615,TERRAS ALTAS,CA980004,BGA 14021,TORO GRANDE ,28,27,29,24,24,23
617,TERRAS ALTAS,CA980024,BGA 14041,SEDOSO,29,25,22,24,28,26
618,TERRAS ALTAS,CA980025,BGA 14042,PALHA MURCHA,23,24,22,24,,25
619,TERRAS ALTAS,CA980026,BGA 14043,CHAT�O,24,26,23,24,26,24
621,TERRAS ALTAS,CA980031,BGA 14048,PAULIST�O,30,27,26,28,,28
624,TERRAS ALTAS,CA990001,BGA 14049,VERMELHO,25,26,22,24,23,24
22,TERRAS ALTAS,CNA1006,BGA 1006,DAWN,,27,,26,22,
242,TERRAS ALTAS,CNA10445,BGA 10445,YUNLUN Nﾺ 1,18,18,,14,18,17
243,TERRAS ALTAS,CNA10451,BGA 10451,YUNLUN Nﾺ 7,24,22,22,18,20,23
244,TERRAS ALTAS,CNA10469,BGA 10469,TB 47H-MR-11-51-3,28,25,23,23,25,26
